Thu. Aug. 20, 2020             LANDSAT 5                 Time: 18:58
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 194 / 026

L0R Reference Image: L51KIS1011288090100_HDF.202231408
Acquisition Date: Oct 15, 2011

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
193   026   09-13-1999, 10-03-2015
193   027   09-13-1999, 07-31-2015
194   025   09-04-1999, 08-23-2015
194   026   08-24-2001, 03-13-2014
194   027   08-24-2001, 08-01-2013
195   025   09-11-1999, 10-01-2015
195   026   09-11-1999, 10-01-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1940260067_01   48.228392   10.224162   590.027      -2.805     4.786    -3.713     4.113
1940260068_01   49.134546    8.917073   232.144      -4.289    -2.306    -3.727    -3.119
1940260069_01   48.801876    9.829908   379.863       0.353     0.463     0.253     0.524
1940260071_01   48.139603   10.244723   593.064       0.303     1.053     0.081     1.091
1940260073_01   48.494761    9.059499   393.763      -0.876    -3.960    -0.052    -4.051
1940260074_01   48.763186    9.147903   430.113      -3.351     2.921    -3.864     2.183
1940260075_01   48.383695   10.887620   533.569      -3.750    -0.182    -3.637    -0.938
1940260076_01   48.942799    9.215257   230.834      -1.952     4.192    -2.752     3.711
1940260077_01   49.102073    8.811478   212.410       5.163    -4.012     5.869    -2.888
1940260078_01   49.306962    9.146473   181.698       1.622    -1.175     1.830    -0.824
1940260081_01   48.290350   10.461049   541.289       2.765    -0.348     2.773     0.218
1940260082_01   48.341906   10.904220   550.758      -5.350     0.363    -5.312    -0.728
1940260083_01   49.193445    9.230268   206.211      -1.043     0.093    -1.035    -0.119
1940260086_01   48.257701    8.851107   575.233       5.556    -2.717     5.989    -1.534
1940260087_01   48.365863   10.906772   535.442      -5.165     1.979    -5.458     0.891
1940260088_01   48.299201   10.133677   542.130       5.616    -2.542     6.005    -1.352
1940260090_01   48.674450    9.464313   393.158      -2.884     0.534    -2.927    -0.059
1940260091_01   48.792547    9.399223   297.988       2.058     3.818     1.247     4.151
1940260092_01   48.256263   10.891335   563.285       4.098     0.548     3.892     1.365
1940260094_01   48.407605    9.501609   784.423       1.266     1.707     0.895     1.924
1940260095_01   48.392036   10.015733   521.650      -5.608    -0.677    -5.350    -1.796
1940260096_01   48.647159    9.525651   395.149       1.586    -2.697     2.099    -2.318
1940260097_01   48.903292    9.093076   339.853      -1.843     3.660    -2.537     3.211
1940260100_01   49.242448    8.895090   210.620      -1.288     2.501    -1.758     2.191
1940260101_01   48.310671   10.368877   535.677       1.433     5.967     0.193     6.126
1940260102_01   49.098673    8.907704   286.438       3.060    -2.754     3.556    -2.079
1940260104_01   48.744983    9.238084   453.177      -3.598     2.503    -4.021     1.723
1940260105_01   49.511432   11.007815   330.707       0.340    -0.030     0.336     0.038
1940260106_01   48.330171    9.892708   541.048       2.379     4.606     1.396     4.986
1940260107_01   49.116351    9.199466   224.658      -2.663     3.803    -3.368     3.187
1940260108_01   48.646473    9.788572   439.265       1.462     3.928     0.638     4.138
1940260109_01   48.519776    9.146073   364.728      -1.364    -6.816     0.047    -6.944
1940260110_01   48.782106    9.129613   411.139      -3.594    -1.926    -3.123    -2.608
1940260111_01   48.522706   10.975216   517.330      -5.987     2.269    -6.320     1.008
1940260113_01   48.332855    9.998716   543.396       3.097     5.134     1.991     5.647
1940260114_01   48.680156    9.555522   394.037       2.971     2.792     2.345     3.331
1940260115_01   49.072189    9.135218   224.187      -1.324     2.768    -1.849     2.444
1940260123_01   48.656653   10.815497   454.700      -6.413    -1.258    -6.025    -2.527
1940260124_01   48.407533   10.604683   505.947      -1.081    -2.012    -0.655    -2.187
1940260125_01   48.585254    9.893440   677.079      -1.009     5.387    -2.074     5.065
1940260126_01   49.180751   11.178050   428.220       3.795    -0.389     3.788     0.383
1940260127_01   48.191029   10.583765   621.683       1.801    -1.182     1.996    -0.792
1940260129_01   48.499763    9.154509   411.242      -2.905     2.303    -3.304     1.667
1940260132_01   48.508055    9.220754   447.693      -6.344     1.263    -6.458    -0.045
1940260133_01   49.091409    9.083409   261.800      -0.988     5.948    -2.161     5.623
1940260134_01   48.862719    9.533518   319.144      -0.062    -0.645     0.072    -0.643
1940260138_01   49.439202   11.000279   352.423      -0.651     0.535    -0.748     0.392
1940260141_01   49.479067   10.975338   341.053      -2.562     2.148    -2.942     1.586
